Phòng ăn,Pháp lý,addressLocality,Số phòng ngủ,price_text,Chính chủ,addressRegion,Đường trước nhà,description,Chiều dài,streetAddress,Sân thượng,Thuộc dự án,Hướng,title,Loại BDS,Nhà bếp,Chiều ngang,price_value,area,Loại tin,Mã tin,Chổ để xe hơi,Số lầu,address_old
,Sổ hồng/ Sổ đỏ,Phường Sài Gòn,10,34 tỷ,,Hồ Chí Minh,6m,"Thông tin chính xác. Không làm mất thời gian của quý khách hàng.
- Bán nhà siêu vị trí trung tâm Bến Nghé - Đông Du - Thi Sách cách phố Nguyễn Huệ 200m.
- Vị trí độc nhất nằm ở lõi trung tâm Q1 cực kỳ khan hiếm BDS bán ra thị trường.
- Diện tích: bề ngang 8M không còn sản phẩm so sánh, khuôn vuông đẹp không lỗi phong thủy.
- Kết cấu: hầm lửng 4 lầu nhà cực kỳ đẹp.
- Nhà đang cho thuê HĐ thu nét 5000$/th còn 4 năm.
- Giá bán: 34 tỷ.
Liên hệ Tài Lê để biết thêm thông tin chi tiết. Trân trọng",10m,Đường Đông Du,,,,Tòa nhà CHDV ngang 8M siêu khan hiếm Bến Nghé - Đông Du - hầm 5 lầu - HĐT 130tr/th,"Phòng trọ, nhà trọ",,8m,34000000000,80,Cần bán,13976988,,6,"Đường Đông Du, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Sài Gòn,10,38 tỷ,,Hồ Chí Minh,10m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

- Bán toà nhà CHDV siêu khan hiếm đường Lê Thị Hồng Gấm, P.Nguyễn Thái Bình, Quận 1.

- Diện tích: 4,2x20m, khuôn vuông đẹp, không lỗi phong thuỷ, không lộ giới.

- Kết cấu: hầm 6 tầng nhà mới thiết kế 10 phòng căn hộ cao cấp full nội thất.

- Khai thác 150 triệu/tháng.

- Vị trí vàng tuyến đường thương hiệu đẳng cấp cách chợ Bến Thành 5 phút đi bộ.

- Khu vực tập trung khách sạn, văn phòng cao cấp nhất Sài Gòn.

- Sổ hồng hoàn công, đầy đủ PCCC.

- Giá bán 38 tỷ.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!",20m,Đường Lê Thị Hồng Gấm,,,,Toà nhà CHDV đường Lê Thị Hồng Gấm -  hầm 6 tầng thang máy - HDT 150 triệu/tháng - 38 tỷ,Nhà mặt tiền,,"4,2m",38000000000,90,Cần bán,16619753,,7,"Đường Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Cầu Ông Lãnh,18,36 tỷ,,Hồ Chí Minh,8m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

- Bán toà nhà CHDV đẳng cấp đường Nguyễn Trãi, P.Nguyễn Cư Trinh, Quận 1.

- Diện tích: 6x20m, khuôn vuông đẹp, không lỗi phong thuỷ, không lộ giới.

- Kết cấu: hầm 6 tầng nhà mới thiết kế 18 phòng căn hộ dịch vụ và 1 mặt bằng.

- Nhà cho thuê 150 triệu/tháng.

- Vị trí vàng ngay khu căn hộ siêu cao cấp Landcaster Nguyễn Trãi. 

- Khu vực tập trung khách sạn, văn phòng, spa, thẩm mỹ, toà nhà CHDV cao cấp.

- Sổ hồng hoàn công, đầy đủ PCCC.

- Giá bán 36 tỷ.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!",20m,Đường Nguyễn Trãi,,,,Toà nhà CHDV siêu vị trí ngay Landcaster Nguyễn Trãi - DT 6x20m - hầm 6 tầng - HDT 150tr/t,Nhà mặt tiền,,6m,36000000000,120,Cần bán,16619986,,7,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,5,66 tỷ,,Hồ Chí Minh,40m,"💎 Bán siêu phẩm nhà 2 mặt tiền đường chính Điện Biên Phủ và Đinh Tiên Hoàng, P.Đakao, Q1.

- Diện tích : 16x8m, căn góc 2 mặt đường chính. Vỉa hè rộng.

- Kết cấu: 5 tầng nhà mới. 

- Nhà cho thuê 150 triệu/tháng.

- Tuyến đường thương hiệu, kinh doanh sầm uất. Vị trí chiến lược sinh ra để quảng bá thương hiệu.

- Lưu lượng xe qua góc ngã tư Điện Biên Phủ - Đinh Tiên Hoàng hàng ngày thuộc top giao thông hàng đầu ở TP. Hồ Chí Minh nên mức độ nhận diện thương hiệu nếu đặt biển quảng cáo ở đây rất cao.

- Sổ hồng chính chủ, pháp lý chuẩn.

- Giá bán 66 thương lượng.",8m,Đường Đinh Tiên Hoàng,,,,Siêu phẩm 2 mặt tiền Điện Biên Phủ - Đinh Tiên Hoàng - DT 16x8M - 4 lầu - HDT 150tr/th,Nhà mặt tiền,,16m,66000000000,128,Cần bán,16622375,,5,"Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, Hồ Chí Minh"
,,Phường Sài Gòn,13,370 tỷ,,Hồ Chí Minh,60m,"- Bán Hoặc Cho Thuê ""TOÀ NHÀ VIEW SÔNG SG BẾN BẠCH ĐẰNG"" 1 HẦM 12 TẦNG - Dòng Tiền Thuê 21 Tỷ Mỗi Năm!

- Tọa lạc trên trục đường ven sông đẹp nhất Sài Gòn, khu lõi trung tâm tài chính kinh tế Quận 1 - tòa nhà sở hữu vị trí HIẾM CÓ – không thể thay thế, một nơi lý tưởng để anh chị đặt trụ sở doanh nghiệp, ngân hàng, hoặc khai thác thương mại cao cấp.

- Địa chỉ: 4B Tôn Đức Thắng, phường Bến nghé, Quận 1
- Diện Tích: 10,2 x 32 m ( vuông vức) 
- Diện tích công nhận: 326 m2 đất 
- Kết cấu: 1 hầm 12 Tầng 
- Diện tích sàn: 2.938m2 
- Hợp đồng thuê: 1 tỷ 8/ tháng 
—————————",32m,Đường Tôn Đức Thắng,,,,"Bán toà nhà mặt tiền 4B Tôn Đức Thắng - Hầm 12 tầng - HDT 1,8 tỷ/tháng - 370 tỷ",Nhà mặt tiền,,"10,2m",370000000000,326,Cần bán,16619367,,13,"Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,7,24 tỷ,,Hồ Chí Minh,12m,"✅ Toà Nhà mặt tiền khu văn phòng Trần Nhật Duật - Trần Quý Khoách, P.Tân Định, Q.1.
✔ Diện tích 4.6x15m, công nhận 65.45m².  
✔ Kết cấu lửng 5 lầu mới + thang máy. Diện tích sàn 257m².
✔ Xây dựng kiên cố, lắp kính công trình, hoàn công vào năm 2022 
✔ Thang máy của Nhật sản xuất xuyên suốt các tầng lầu 
✔ Một mặt giáp sông, một mặt hướng đường Trần Khánh Dư quận 1. 
✔ Đang có hợp đồng cho thuê còn hạn 8 năm, mỗi tháng 90 tr, đặt cọc 2 tháng. 
✔ Khu vực đang thu hút nhiều hàng quán, nhà hàng, trường học, 2 trường mầm non (ILO) và trường quốc tế Á Châu cạnh bên
✔ Giáp Trần Quang Khai đông đúc và giáp Hoàng Sa nơi tụ hội nhiều quán ăn ven bờ kênh nhất Saigon.
✔ Giá 24 tỷ.",15m,Đường Trần Quang Khải,,,,HOT🔥 🔥 Toà nhà mini 6 tầng khu văn phòng Trần Quang Khải - HDT 90 triệu/tháng - 24 tỷ,Nhà mặt tiền,,"4,6m",24000000000,66,Cần bán,16661695,,7,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Cầu Ông Lãnh,6,71 tỷ,,Hồ Chí Minh,16m,"💎Bán toà nhà mặt tiền Đề Thám cách chợ Bến Thành 300M.

- Diện tích: 8.1x18m vuông vức, không lỗi phong thuỷ.

- Kết cấu: 6 tầng nhà mới, có PCCC. 

- Vị trí lõi trung tâm Q1 ngay phố Bùi Viện cách chợ Bến Thành chỉ 300M khu kinh doanh sầm uất đa ngành nghề.

- Pháp lý chuẩn, mua bán nhanh.

- Giá bán: 71 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",18m,Đường Đề Thám,,,,"💎Bán toà nhà mới 6 tầng MT Đề Thám ngay chợ Bến Thành - 8,1x18m - 70 tỷ",Nhà mặt tiền,,"8,1m",71000000000,140,Cần bán,16662588,,6,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,5,85 tỷ,,Hồ Chí Minh,16m,"🔥Bán kín nhà siêu vị trí mặt tiền Thủ Khoa Huân ngay cổng Bắc chợ Bến Thành.

- Diện tích: 4,8x20m vuông vức, không lỗi phong thuỷ.

- Kết cấu: 5 tầng, nhà kiên cố. Căn góc 2 mặt tiền, hẻm hông 6M.

- Vị trí lõi trung tâm cách cổng Bắc chợ Bến Thành chỉ 30M rất khan hiếm nhà rao bán. 

- Khu vực chuyên phục vụ về du lịch cho du khách nước ngoài tập trung khách sạn 3*-4*-5* và kinh doanh về vàng bạc đá quý, spa, thẫm mỹ cao cấp.

- Pháp lý chuẩn, mua bán nhanh.

- Giá bán: 85 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",20m,Đường Thủ Khoa Huân,,,,"🔥Siêu vị trí ngay cổng Bắc chợ Bến Thành- MT Thủ Khoa Huân - 4,8x20m - HDT 200tr/th",Nhà mặt tiền,,"4,8m",85000000000,90,Cần bán,16662757,,5,"Đường Thủ Khoa Huân, Phường Bến Thành, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,5,105 tỷ,,Hồ Chí Minh,12m,"🔥Bán gấp căn đôi mặt tiền Phạm Ngũ Lão đoạn đẹp nhất giữa Đề Thám - Đỗ Quang Đẩu, P.PNL, Q1.

- Diện tích: 8x18m vuông vức. Khuôn cực khan hiếm.

- Kết cấu: 5 tầng nhà đang kinh doanh. Có thể bàn giao nhà trống.

- Vị trí siêu khan hiếm để xây khách sạn ngay phố đi bộ Bùi Viện chuyên phục vụ kinh doanh về du lịch khách nước ngoài.

- Pháp lý cá nhân, mua bán nhanh.

- Giá: 105 Tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",18m,Đường Phạm Ngũ Lão,,,,🔥Bán nhà MT Phạm Ngũ Lão đoạn đẹp nhất chuẩn xây khách sạn  - DT 8x18m - 5 tầng - 105 tỷ,Nhà mặt tiền,,8m,105000000000,144,Cần bán,16662970,,5,"Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,2,35 tỷ,,Hồ Chí Minh,12m,"💎Chính chủ cần bán gấp nhà mặt tiền Thạch Thị Thanh, P. Tân Định, Q1.

- Diện tích: 5x25m. Nhà trệt lầu tiện xây dựng mới.

- CTXD hầm 6 tầng.

- Vị trí trung tâm Q1 ngay chợ Tân Định kết nối trực tiếp vào Bến Nghé.

- Khu vực thích hợp xây dựng toà nhà văn phòng hoặc CHDV cao cấp.

- Pháp lý chuẩn, mua bán nhanh.

- Giá bán: 35 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",25m,Đường Thạch Thị Thanh,,,,Giảm sâu 5 tỷ!!! Bán nhà MT Thạch Thị Thanh - 5x25m - CTXD hầm 6 tầng -  35 tỷ,Nhà mặt tiền,,5m,35000000000,125,Cần bán,16663148,,2,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,7,38 tỷ,,Hồ Chí Minh,12m,"🔥HOT!!! Bán mặt tiền ngay góc Hai Bà Trưng - Trần Quang Khải, P.Tân Định, Q1.

- Diện tích: ngang 5.5m  dài 25m.

- Kết cấu: 7 tầng (5 lầu + lửng + mái che tháng) nhà mới, có thang mới. 

- Vị trí lõi trung tâm Q1 kết nối trực tiếp vào Bến Nghé ngay nhà nhà thờ & chợ Tân Định đang phát triển rất mạnh về du lịch.

- Sổ hồng hoàn công, mua bán nhanh.

- HĐT 120 triệu/tháng.

- Giá bán: 38 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",25m,Đường Hai Bà Trưng,,,,🔥 Bán nhà MT góc Hai Bà Trưng - Trần Quang Khải - 7 tầng - 5.5x25m - 38 tỷ - HDT 120tr/th,Nhà mặt tiền,,"5,5m",38000000000,120,Cần bán,16669829,,7,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,5,"36,9 tỷ",,Hồ Chí Minh,12m,"Thông tin chính xác. Không làm mất thời gian của quý khách hàng.
- Bán nhà khan hiếm 2 mặt tiền đường Mạc Đĩnh Chi - Nguyễn Văn Thủ, phường Đakao, Quận 1.
- Vị trí khu vực trung tâm tài chính phường Đakao của quận 1 an ninh, dân trí cao cấp, lõi trung tâm Tp.HCM.
- Diện tích: 4.1x19m. Nhà vuông vức không lỗi phong thuỷ.
- Nhà góc 2 mặt tiền cực kỳ thoáng, thuận tiện kinh doanh đa ngành nghề, giá trị thương mại cao.
- Kết cấu: 5 tầng kiên cố chắc chắn.
- Pháp lý chuẩn, sổ hồng công chứng nhanh.
- Giá bán: 36.9 tỷ có thương lượng.
Liên hệ Tài Lê để biết thêm thông tin chi tiết. Trân trọng.",19m,Đường Mạc Đĩnh Chi,,,,"Bán căn góc 2MT Mạc Đĩnh Chi - Nguyễn Văn Thủ - 5 tầng - 4,1x19m - HDT 90tr/th",Nhà mặt tiền,,"4,1m",36900000000,80,Cần bán,16454284,,5,"Đường Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Sài Gòn,5,32 tỷ,,Hồ Chí Minh,12m,"Thông tin chính xác. Không làm mất thời gian của quý khách hàng.
- Bán nhà góc 2 mặt tiền khan hiếm P.Nguyễn Thái Bình, Quận .
- Vị trí khu vực trung tâm quận 1 cách chợ Bến Thành chỉ 500m đi bộ mất 5 phút.
- Diện tích: 4x23m. Nhà vuông vức, không lộ giới công nhận đủ.
- Vỉa hè rộng, hẻm hông 5m cực kỳ thoáng.
- Kết cấu: 5 tầng nhà mới, mua vào sử dụng ngay.
- Pháp lý chuẩn, sổ hồng công chứng nhanh.
- Giá bán: 32 tỷ tỷ có thương lượng.
Liên hệ Tài Lê để biết thêm thông tin chi tiết. Trân trọng.
(Hình minh hoạ!!)",23m,Đường Nguyễn Thái Bình,,,,Bán nhà góc 2 mặt tiền P.Nguyễn Thái Bình - nhà mới 5 tầng - HDT 90 triệu/tháng - 32 tỷ,Nhà mặt tiền,,4m,32000000000,85,Cần bán,16454414,,5,"Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,6,"50,5 tỷ",,Hồ Chí Minh,6m,"Thông tin chính xác. Không làm mất thời gian của quý khách hàng.

- Bán gấp siêu biệt thự khan hiếm khu VIP Mạc Đĩnh Chi - Phùng Khắc Khoan, Phường Đakao, Quận 1.
- Diện tích: 12.5x15m vuông vức, không phong thủy, không lộ giới..
- Kết cấu: biệt thự trệt 3 lầu sân vườn đẳng cấp.
- Sổ hồng chính chủ, hoàn công đầy đủ, mua bán nhanh.
- Vị trí nằm ở khu vực VIP đại sư quán Mạc Đĩnh Chi - Phùng Khắc Khoan cực kỳ an ninh, sang trọng rất hiếm có nhà bán.
- Giá bán: 62 tỷ giảm về 50.5 tỷ chốt.

Liên hệ Tài Lê để biết thêm thông tin chi tiết. Trân trọng!!",15m,Đường Phùng Khắc Khoan,,,,Giảm sốc!! Bán siêu biệt thự  khu VIP Mạc Đĩnh Chi - Phan Khắc Khoan - 12.5x15m - 56.9 tỷ,Nhà trong hẻm,,"12,5m",50500000000,180,Cần bán,16566048,,4,"Đường Phùng Khắc Khoan, Phường Đa Kao, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Cầu Ông Lãnh,6,75 tỷ,,Hồ Chí Minh,30m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

Chính chủ bán gấp siêu khan hiếm mặt tiền đườngTrần Hưng Đạo, P.Nguyễn Cư Trinh, quận 1.

- Diện tích: 8x20m. Kết cấu nhà mới 6 tầng sàn suốt.

- Hiện đang cho đơn vị kinh doanh phòng GYM thuê 300 triệu/tháng.

- Vị trí đắc địa lõi trung tâm quận 1 gần chợ Bến Thành kinh doanh sầm uất đa ngành nghề. 

- Giá bán 75 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!",20m,Đường Trần Hưng Đạo,,,,Giá sốc!!! Toà nhà có HĐT 300 triệu/tháng mặt tiền Trần Hưng Đạo ngang 8m x 20m,Nhà mặt tiền,,8m,75000000000,160,Cần bán,16945703,,6,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,2,45 tỷ,,Hồ Chí Minh,20m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

**Chính chủ bán nhà mặt tiền căn góc siêu vị trí Nguyễn Trãi - Nguyễn Văn Tráng khan hiếm ngay sát vòng xoay Phù Đổng - chợ Bến Thành - khách sạn 5* NewWorld.

- Diện tích: 4x20m, nhà vuông vức.

- Vị trí đắc địa lõi trung tâm kinh doanh sầm uất tuyến đường thương hiệu Nguyễn Trãi, tập trung khách sạn, showroom, shop thời trang cao cấp. 

- Nhà đang cho thuê shop thời trang thương hiệu.

- Giá bán 45 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!
(Hình minh hoạ)",20m,Đường Nguyễn Trãi,,,,Siêu vị trí!!!Góc 2 mặt tiền Nguyễn Trãi - Nguyễn Văn Tráng 4x20m đang cho thuê 130 tr/th,Nhà mặt tiền,,4m,45000000000,80,Cần bán,16946256,,2,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,8,39 tỷ,,Hồ Chí Minh,20m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

💎 Chính chủ gửi bán kín mặt tiền Hai Bà Trưng đoạn đẹp quận 1.

- Diện tích: 4.5x25m, công nhận đủ.

- Vỉa hè rộng 7m không lộ giới.

- Vị trí đắc địa lõi trung tâm quận 1 ngay nhà thờ Tân Định phát triển mạnh về du lịch. 

- Tuyến đường sầm uất kinh doanh đa ngành nghề.

- Kết cấu: trệt 5 lầu nhà mới. Nhà cho thuê 130 triệu/tháng.

- Giá bán 39 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!",25m,Đường Hai Bà Trưng,,,,"Hàng độc quyền!! MT Hai Bà Trưng 4,5x25m nhà mới  6 lầu cho thuê 130 triệu/tháng",Nhà mặt tiền,,"4,5m",39000000000,100,Cần bán,16935133,,6,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Cầu Ông Lãnh,35,65 tỷ,,Hồ Chí Minh,10m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

💎Chính chủ gửi bán toà nhà Trần Hưng Đạo khan hiếm ngay sát chợ Bến Thành.

- Diện tích: 10x23m, khuôn vuông vức, không lỗi phong thuỷ.

- Vị trí đắc địa lõi trung tâm ngay chợ Bến Thành phát triển cực mạnh về du lịch. 

- Kết cấu : toà nhà mới hầm 6 tầng ~1200m2 sàn sử dụng.

- Nhà cho thuê 250 triệu/tháng.

- Giá bán 65 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!",23m,Đường Trần Hưng Đạo,,,,Toà nhà hầm 6 tầng ngang 10M x 23M siêu khan hiếm đường Trần Hưng Đạo thuê 250tr/th,Nhà mặt tiền,,10m,65000000000,230,Cần bán,16935159,,7,"Đường Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Cầu Ông Lãnh,23,35 tỷ,,Hồ Chí Minh,30m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

💎Chính chủ gửi bán khách sạn siêu khan hiếm  ngay PullMan đường Trần Hưng Đạo.

- Diện tích: 4.5x17m, không  lộ giới.

- Vị trí đắc địa lõi trung tâm ngay chợ Bến Thành phát triển cực mạnh về du lịch. 

- Kết cấu : nhà mới hầm 6 tầng.

- Nhà cho thuê 130 triệu/tháng.

- Giá bán 35 tỷ.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!",17m,Đường Trần Hưng Đạo,,,,Bán khách sạn ngay Trần Hưng Đạo Pullman - hầm 6 tầng nhà đẹp - HDT 130tr/th,"Nhà hàng, khách sạn",,"4,5m",35000000000,70,Cần bán,16935196,,7,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,2,158 tỷ,,Hồ Chí Minh,20m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

💎Chính chủ bán mặt tiền Lý Tự Trọng siêu khan hiếm ngay sát chợ Bến Thành.

- Diện tích: 12x20m, khuôn vuông vức, không lỗi phong thuỷ.

- Vỉa hè rộng 7m không lộ giới.

- Vị trí đắc địa lõi trung tâm ngay chợ Bến Thành phát triển cực mạnh về du lịch. 

- Khu vực xây dựng cao tầng thích hợp xây khách sạn

- Pháp lý cá nhân, mua bán nhanh.

- Giá bán 158 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!! 

(Hình minh hoạ)",20m,Đường Lý Tự Trọng,,,,💎 Siêu HOT!!! Bán nhà  MT Lý Tự Trọng diện tích khủng 12x20m giá 158 tỷ,Nhà mặt tiền,,12m,158000000000,240,Cần bán,16934974,,2,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,5,50 tỷ,,Hồ Chí Minh,20m,"Thông tin chính xác, không làm mất thời gian của quý khách hàng.

💎Chính chủ bán mặt tiền Lý Tự Trọng siêu khan hiếm ngay sát chợ Bến Thành.

- Diện tích: 4x20m, khuôn vuông vức, không lỗi phong thuỷ.

- Vỉa hè rộng 7m thuận tiện kinh doanh.

- Vị trí đắc địa lõi trung tâm ngay chợ Bến Thành phát triển cực mạnh về du lịch. 

- Nhà cho thuê 130 triệu/tháng.

- Giá bán 50 tỷ có thương lượng.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!!",20m,Đường Lý Tự Trọng,,,,Cần bán gấp!!! MT Lý Tự Trọng - chợ Bến Thành - 4x20m - HDT 130 triệu/tháng - giá tốt,Nhà mặt tiền,,4m,50000000000,83,Cần bán,16934995,,4,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,8,48 tỷ,,Hồ Chí Minh,12m,"🔥Chính chủ ngộp ngân hàng bán gấp tòa nhà đường Hai Bà Trưng đối diện nhà thờ Tân Định.

- Diện tích: 7x19m, căn góc không lộ giới.Hẻm hông rộng 5M thông thoáng

- Kết cấu: 8 tầng nhà mới chuẩn văn phòng.

- Vị trí siêu đẹp tập trung toà cao ốc và CHDV hạng sang. 

- Khu vực an ninh sang trọng, đang phát triển rất mạnh về du lịch thu hút khách nước ngoài.

- Nhà đang cho thuê nguyên toà nhà 200 triệu/tháng.

- Giá bán: 48 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",19m,Đường Hai Bà Trưng,,,,🔥Bán GẤP toà nhà văn phòng 8 tầng ngang lớn 7M  đường Hai Bà Trưng - HDT 200 triệu/tháng,Văn phòng,,7m,48000000000,120,Cần bán,16752268,,8,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Bến Thành,3,46 tỷ,,Hồ Chí Minh,30m,"🔥Bán nhà siêu vị trí căn góc 2 mặt tiền Trương Định - Phạm Hồng Thái ngay chợ Bến Thành.

- Diện tích: 11x4mm không lộ giới.

- Kết cấu: 1 trệt 2 lầu.

- Vị trí kim cương cách chợ Bến Thành 100M, đối diện là ga Metro Bến Thành, khách sạn 5* New World.

- Pháp lý cá nhân, mua bán nhanh.

- Giá bán: 46 tỷ.

- Liên hệ Tài Lê để xem nhà & làm việc chính chủ. Trân trọng!!!",4m,Đường Phạm Hồng Thái,,,,🔥Bán nhà siêu vị trí căn góc 2 mặt tiền Trương Định - Phạm Hồng Thái đối diện ga Metro BT,Nhà mặt tiền,,11m,46000000000,44,Cần bán,16752371,,3,"Đường Phạm Hồng Thái, Phường Bến Thành, Quận 1, Hồ Chí Minh"
,Sổ hồng/ Sổ đỏ,Phường Tân Định,5,55 tỷ,,Hồ Chí Minh,20m,"Siêu phẩm nhà góc 2 mặt tiền Võ Thị Sáu – Hai Bà Trưng, Quận 1. Diện tích hiếm 10x18m thích hợp làm showroom, văn phòng, nhà hàng cao cấp. Vị trí trung tâm đắc địa, pháp lý chuẩn, khó tìm sản phẩm thứ 2 tương tự.

**Thông tin chi tiết:

Vị trí: Góc 2 mặt tiền đường Võ Thị Sáu – Hai Bà Trưng, P. Tân Định, Quận 1

- Diện tích: 10m x 18m, không lộ giới.

- Hiện trạng: Nhà hiện hữu, dễ cải tạo hoặc xây mới theo nhu cầu

- Pháp lý: Sổ hồng riêng, công chứng sang tên ngay

- Giá bán: 60 tỷ giảm về 55 tỷ Vui lòng liên hệ trực tiếp (tài sản hiếm có, phù hợp đầu tư/giữ lâu dài)

**ƯU ĐIỂM :

- Góc 2 mặt tiền Võ Thị Sáu – Hai Bà Trưng, vị trí đắt giá ngay trung tâm Q1 – cực kỳ dễ nhận diện thương hiệu.
- Diện tích lớn, hiếm có trong khu vực lõi đô thị, phù hợp xây văn phòng, căn hộ dịch vụ, nhà hàng cao cấp.
- Lưu lượng xe qua lại liên tục, tầm nhìn thoáng kinh doanh hoặc cho thuê đều cực tốt.
- Xung quanh toàn cao ốc, ngân hàng, chuỗi thương hiệu lớn – giá trị thương mại cực cao.
- Pháp lý đầy đủ, sở hữu lâu dài, khu vực an ninh, quy hoạch ổn định.

Liên hệ Tài Lê để biết thêm chi tiết. Trân trọng!!!",18m,Đường Hai Bà Trưng,,,,Siêu phẩm diện tích khủng 10x18m góc 2 mặt tiền Võ Thị Sáu – Hai Bà Trưng chỉ 55 tỷ,Nhà mặt tiền,,10m,55000000000,180,Cần bán,16829163,,3,"Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh"
